id,house_ln,house_la,subway,bus_stop,park,scenery,street,room_type,accommodates,bathroom,bedroom,beds,bed_type,guests,num_of_review,review_score,Entire_home,Private_room,Shared_room,crime_rate,host_response_time,response_time_num,host_response_rate,superhost,host_neighborhood,daily_price,weekly_price,monthly_price,Central_Park,Van_Cortlandt,Flushing_Meadows,Prospect_Park,Washington_Square_Park,Bronx_Park,Pelham_Bay_Park,Floyd_Bennet_Field,Jamaica_Bay,Jacob_Riis_Park,Fort_Tilden,Greenbelt,The_Metropolitan_Museum_of_Art,statue_of_liberty,Empire_state_Building,American_Museum_of_Natual_History,Museum_of_Modern_Art,Times_Square,One_world_trade_cente,Grand_Centreal_Terminal,intrepid_sea_air,Fifth_Avenue,Brooklyn_Bridge,Wall_Street,Flatiron_Building,New_York_University,Broadway,China_Town,New_york_Public_Library,West_Point_Academy,Columbia_University,Madison_Square_Garden,madame_tussauds_new_york,National_September_11_Memorial_Museum,Manhattan_Skyline,United_Nations_Headquarters,SOHO,St_Patrick_Cathedral,High_Line_Park,Top_of_the_Rock,sub_dist_1,sub_dist_2,sub_dist_3,bus_dist_1,bus_dist_2,bus_dist_3,subway_station,new_price
1096511,-73.95362,40.80602,2,12,1,6,New York,Private room,1,1,1,1,Real Bed,1,229,95,0,1,0,1.6748,within a few hours,2,1,1,Harlem,85,540,,2.634,11.698,12.027,15.68,9.136,8.132,14.318,23.668,24.284,27.125,27.704,20.815,3.08,15.076,6.902,3.214,5.35,5.873,11.501,6.249,6.065,3.71,11.663,12.054,7.832,9.271,2.446,10.74,6.353,63.825,0.772,7.031,6.276,11.629,5.185,6.201,3.44,5.641,236.557,5.653,0.149,0.551,0.576,0.226,0.25,0.257,1,85
1097816,-73.946,40.63612,2,5,1,0,Brooklyn,Entire home/apt,16,4,3,12,Real Bed,5,19,84,1,0,0,0.8373,within an hour,3,1,0,Flatbush,325,,,16.671,29.548,14.54,3.836,11.385,24.547,28.799,6.007,7.91,10.547,9.469,11.017,15.989,10.199,12.965,16.316,14.193,14.045,10.255,13.23,15.036,15.424,8.937,9.405,12.243,11.241,17.378,9.771,13.37,82.724,19.112,13.202,13.854,10.079,14.402,12.937,16.297,13.863,255.44,13.971,0.391,0.474,1.029,0.296,0.362,0.483,2,325
1098863,-73.90398,40.69305,1,3,0,0,Brooklyn,Entire home/apt,2,1,1,1,Real Bed,2,113,94,1,0,0,0.9855,within a few hours,2,1,1,Bushwick,125,,,11.58,22.833,7.436,6.334,8.919,17.665,21.589,10.624,11.049,13.886,14.693,15.535,10.817,11.86,9.25,11.435,9.821,10.019,9.472,9.06,11.411,10.408,8.002,8.955,8.988,8.84,12.404,8.195,9.393,76.538,13.654,9.706,10.047,9.375,10.012,8.415,11.541,9.543,249.095,9.73,0.284,0.477,0.988,0.09,0.375,0.487,2,60
1100421,-73.99284,40.68754,2,6,1,7,Brooklyn,Entire home/apt,2,1,1,1,Real Bed,2,37,97,1,0,0,2.1164,within a few hours,2,1,0,Boerum Hill,195,1365,4850,11.043,25.066,14.068,3.127,4.828,20.589,25.834,12.907,14.57,17.349,16.396,8.568,10.503,4.365,6.842,10.558,8.321,7.961,3.308,7.368,8.617,9.876,2.138,2.456,5.963,4.676,11.592,3.084,7.351,77.039,13.585,6.913,7.659,3.132,8.513,7.397,10.449,8.003,249.796,8.04,0.228,0.586,0.669,0.226,0.261,0.299,1,195
1100753,-73.94124,40.83695,3,17,0,1,New York,Entire home/apt,2,1,1,1,Real Bed,2,0,0,1,0,0,0.9876,within an hour,3,1,0,Washington Heights,175,1200,2750,6.199,8.222,13.727,19.211,12.711,5.613,11.875,26.875,27.327,30.121,30.935,24.331,6.674,18.586,10.482,6.752,8.934,9.433,15.061,9.841,9.46,7.304,15.255,15.633,11.412,12.848,5.846,14.33,9.936,60.407,3.731,10.587,9.823,15.193,8.764,9.783,6.943,9.23,233.106,9.235,0.154,0.412,0.442,0.143,0.161,0.18,4,175
1101224,-73.93845,40.68674,0,9,1,0,Brooklyn,Entire home/apt,4,1,3,3,Real Bed,4,26,98,1,0,0,1.977,within a few hours,2,1,0,Bedford-Stuyvesant,182,,3108,11.221,23.896,10.122,3.539,6.976,18.94,23.448,10.529,11.586,14.477,14.484,12.574,10.505,8.951,7.958,10.929,8.944,8.936,6.946,8.031,10.146,9.977,5.42,6.308,7.432,6.863,11.977,5.84,8.258,77.11,13.585,8.312,8.838,6.821,9.151,7.591,10.953,8.624,249.805,8.768,0.785,1.047,1.095,0.254,0.259,0.265,0,137
1102858,-73.94551,40.67271,1,12,1,0,Brooklyn,Entire home/apt,4,1,1,2,Real Bed,2,338,96,1,0,0,0.9147,within an hour,3,1,1,Crown Heights,105,,,12.643,25.541,11.552,2.194,7.8,20.604,25.107,9.329,10.645,13.507,13.177,11.493,11.948,8.552,9.107,12.31,10.236,10.149,7.255,9.289,11.25,11.394,5.754,6.497,8.47,7.669,13.369,6.395,9.468,78.657,15.061,9.402,9.999,7.103,10.445,8.937,12.308,9.909,251.371,10.033,0.464,0.525,0.692,0.158,0.202,0.208,1,105
1102942,-73.97853,40.74268,1,11,1,23,New York,Entire home/apt,2,1,1,2,Real Bed,2,66,93,1,0,0,1.1501,within a day,1,0.9,0,Kips Bay,240,1200,3800,4.794,18.94,11.61,8.61,2.061,14.732,20.387,17.56,18.659,21.552,21.44,13.763,4.269,8.14,0.896,4.322,2.092,1.887,4.412,1.123,3.093,3.639,4.323,4.811,0.959,2.154,5.37,3.427,1.208,70.878,7.336,1.35,1.76,4.503,2.293,1.32,4.236,1.766,243.637,1.834,0.482,0.485,0.748,0.13,0.244,0.326,2,240
1102963,-73.90655,40.68185,5,7,0,0,Brooklyn,Entire home/apt,10,2,3,5,Real Bed,4,93,94,1,0,0,0.9855,within an hour,3,1,0,Bushwick,185,,,12.603,24.09,8.493,5.63,9.392,18.928,22.827,9.399,9.931,12.793,13.467,14.932,11.847,11.666,9.982,12.421,10.692,10.828,9.636,9.876,12.172,11.406,8.121,9.031,9.621,9.297,13.416,8.455,10.179,77.768,14.751,10.407,10.816,9.52,10.89,9.286,12.507,10.399,250.34,10.575,0.155,0.349,0.405,0.436,0.452,0.457,3,150
1105845,-73.99775,40.7457,3,9,1,23,New York,Entire home/apt,2,1,1,2,Real Bed,2,5,96,1,0,0,1.8733,within a few hours,2,1,0,Chelsea,160,,,5.034,19.366,13.241,9.221,1.655,15.471,21.329,18.561,19.804,22.688,22.349,13.149,4.729,7.414,1.094,4.459,2.438,1.812,3.867,1.902,2.139,4.129,4.362,4.512,0.847,1.807,5.386,3.401,1.545,70.592,7.487,0.683,1.394,4.009,2.552,2.602,4.265,2.244,243.343,2.136,0.034,0.252,0.406,0.044,0.093,0.095,3,160
1106284,-73.98455,40.73708,2,20,1,21,New York,Entire home/apt,2,1,1,1,Real Bed,1,21,95,1,0,0,1.73,within an hour,3,1,0,Gramercy Park,250,2000,5700,5.512,19.717,12.116,8.053,1.282,15.534,21.187,17.205,18.392,21.281,21.037,12.961,5.024,7.339,1.307,5.01,2.775,2.426,3.61,1.848,3.373,4.392,3.567,4.016,0.625,1.363,6.04,2.649,1.799,71.512,8.05,1.524,2.177,3.7,2.963,2.121,4.896,2.464,244.272,2.489,0.354,0.489,0.528,0.198,0.219,0.221,2,250
1108309,-73.94122,40.58408,0,3,0,0,Brooklyn,Entire home/apt,4,1,1,2,Real Bed,2,72,93,1,0,0,0.4889,within an hour,3,1,0,Sheepshead Bay,85,536,1890,22.468,35.208,19.268,9.372,16.99,30.125,34.043,4.11,6.437,7.726,4.825,13.171,21.789,14.587,18.694,22.105,19.964,19.788,15.566,18.997,20.714,21.221,14.407,14.709,17.934,16.841,23.168,15.305,19.118,88.517,24.912,18.901,19.577,15.385,20.172,18.727,22.079,19.634,261.222,19.735,1.136,1.711,1.848,0.021,0.147,0.234,0,95
