,Unnamed: 0,id,house_ln,house_la,subway,bus_stop,street,room_type,bedroom,guests,num_of_review,review_score,Entire_home,Private_room,Shared_room,crime_rate
185,185,48719,-73.98852,40.71882,6,10,New York,Entire home/apt,1,2,108,96.0,1,0,0,1.2624
186,186,50447,-73.98804,40.6693,3,5,Brooklyn,Entire home/apt,1,2,146,97.0,1,0,0,0.9893
187,187,51438,-73.95199000000002,40.77333,0,23,New York,Private room,1,1,0,,0,1,0,0.9315
188,188,51485,-73.99201,40.72319,9,9,New York,Private room,1,2,283,87.0,0,1,0,1.6704
189,189,51572,-73.99671,40.74859,4,12,New York,Private room,1,1,373,92.0,0,1,0,1.8733
190,190,51850,-73.76597,40.67252,0,4,Queens,Private room,1,1,52,88.0,0,1,0,1.0738
191,191,53137,-73.99271,40.76244000000001,0,9,New York,Entire home/apt,1,1,10,60.0,1,0,0,4.3095
192,192,53196,-73.93503,40.69546,3,4,Brooklyn,Private room,1,1,11,98.0,0,1,0,1.977
193,193,53469,-73.87856,40.71722000000001,0,0,Queens,Entire home/apt,1,2,33,87.0,1,0,0,0.8344
194,194,53470,-73.89816,40.70234,1,12,Queens,Private room,2,3,6,80.0,0,1,0,0.8344
195,195,53477,-73.87854,40.71546,0,0,Queens,Entire home/apt,4,5,38,95.0,1,0,0,0.8344
196,196,54158,-73.95976,40.7195,1,0,Brooklyn,Entire home/apt,2,1,351,94.0,1,0,0,0.9601
197,197,54453,-73.98474,40.76548,9,17,New York,Shared room,1,1,10,90.0,0,0,1,4.3095
198,198,54466,-73.95603,40.80234,2,17,New York,Private room,1,2,0,,0,1,0,1.6748
199,199,54508,-73.97261999999998,40.6787,4,6,Brooklyn,Private room,1,1,225,96.0,0,1,0,0.9893
200,200,54544,-73.94598,40.81035,2,17,New York,Entire home/apt,1,2,101,93.0,1,0,0,1.466
201,201,54626,-73.93058,40.83075,0,3,Bronx,Private room,1,1,125,97.0,0,1,0,1.3999
202,202,54860,-73.94275,40.79958,1,15,New York,Private room,1,1,200,97.0,0,1,0,2.4892
203,203,55467,-73.93845,40.71625,0,5,Brooklyn,Entire home/apt,1,2,249,98.0,1,0,0,0.9601
204,204,55498,-73.93549,40.6829,0,11,Brooklyn,Private room,1,1,19,97.0,0,1,0,1.977
205,205,55668,-73.99134000000002,40.72773,7,5,New York,Private room,1,1,115,97.0,0,1,0,1.1773
206,206,55737,-74.0049,40.72861,3,10,New York,Entire home/apt,1,1,129,96.0,1,0,0,2.282
207,207,55959,-73.95161999999998,40.70979000000001,4,4,Brooklyn,Private room,1,1,81,96.0,0,1,0,0.9672
208,208,55982,-73.97525,40.68656,11,7,Brooklyn,Private room,1,1,37,96.0,0,1,0,1.8669
209,209,56467,-73.98432,40.72752,1,15,New York,Entire home/apt,1,2,198,96.0,1,0,0,1.1773
210,210,56525,-73.95829,40.729,1,1,Brooklyn,Entire home/apt,1,2,68,98.0,1,0,0,0.9601
211,211,56859,-73.94499,40.81219,2,16,New York,Private room,1,2,191,92.0,0,1,0,1.466
212,212,57166,-73.90502,40.77185,0,8,Astoria,Entire home/apt,1,2,16,86.0,1,0,0,0.6855
213,213,57297,-73.99386,40.68926,7,8,Brooklyn,Entire home/apt,1,2,217,93.0,1,0,0,0.4812
214,214,57468,-73.98701,40.72821,1,11,New York,Entire home/apt,1,1,202,95.0,1,0,0,1.1773
215,215,57618,-73.98508000000002,40.7672,8,18,New York,Entire home/apt,1,2,93,96.0,1,0,0,4.3095
216,216,57740,-73.99053,40.73012,4,6,New York,Entire home/apt,1,1,6,97.0,1,0,0,1.1773
217,217,57754,-73.98498000000002,40.7403,3,20,New York,Entire home/apt,1,2,106,99.0,1,0,0,1.73
218,218,57874,-73.94343,40.80931,2,15,New York,Entire home/apt,1,2,218,97.0,1,0,0,1.466
219,219,58059,-73.94287,40.8251,4,17,New York,Private room,1,2,448,93.0,0,1,0,0.9558
220,220,58062,-73.98397,40.6585,1,2,Brooklyn,Private room,2,2,21,97.0,0,1,0,0.7843
221,221,58467,-73.9501,40.76193,1,0,New York,Private room,1,1,17,97.0,0,1,0,0.6855
222,222,59014,-73.98589,40.72052,4,12,New York,Entire home/apt,1,2,41,90.0,1,0,0,1.2624
223,223,59121,-73.89934000000002,40.70411,1,8,Queens,Entire home/apt,3,3,1,100.0,1,0,0,0.8344
224,224,59709,-73.99503,40.71756,8,5,New York,Entire home/apt,2,1,16,90.0,1,0,0,1.6704
225,225,59855,-73.96991,40.7589,8,11,New York,Entire home/apt,1,1,82,92.0,1,0,0,1.1501
226,226,60164,-74.00262,40.72003,10,4,New York,Entire home/apt,3,6,91,86.0,1,0,0,1.7097
227,227,60611,-73.94573000000003,40.79163,1,17,New York,Entire home/apt,1,1,183,97.0,1,0,0,1.0669
228,228,60666,-73.94434,40.8118,2,18,New York,Private room,1,2,184,94.0,0,1,0,1.466
229,229,60673,-73.94707,40.81583,2,10,New York,Private room,1,2,1,100.0,0,1,0,1.466
230,230,60680,-73.98049,40.72654,0,18,New York,Entire home/apt,1,2,124,89.0,1,0,0,1.1773
231,231,60794,-73.96070999999998,40.80021,2,16,New York,Entire home/apt,3,2,4,100.0,1,0,0,0.8454
232,232,60948,-73.93936,40.80942,0,14,New York,Entire home/apt,2,2,133,89.0,1,0,0,2.4892
233,233,61167,-73.9954,40.71961,8,4,New York,Entire home/apt,2,2,21,92.0,1,0,0,1.6704
234,234,61224,-74.00027,40.74358,5,9,New York,Entire home/apt,2,11,35,92.0,1,0,0,1.8733
235,235,61406,-73.9575,40.80335,2,20,New York,Private room,1,1,10,80.0,0,1,0,1.6748
236,236,61492,-73.9908,40.71445,3,16,New York,Private room,1,1,167,97.0,0,1,0,1.2624
237,237,61509,-73.96897,40.75749,3,14,New York,Entire home/apt,1,1,92,85.0,1,0,0,1.1501
238,238,62095,-73.9503,40.64446,2,2,Brooklyn,Entire home/apt,1,1,235,83.0,1,0,0,0.8373
239,239,62427,-73.99079,40.7268,7,9,New York,Entire home/apt,1,1,55,96.0,1,0,0,1.1773
240,240,62430,-73.9171,40.688,2,1,Brooklyn,Entire home/apt,1,2,105,91.0,1,0,0,0.9855
241,241,62891,-73.98161,40.72477,0,16,New York,Entire home/apt,1,1,184,85.0,1,0,0,1.1773
242,242,62903,-73.99566999999998,40.74238,8,7,New York,Entire home/apt,1,1,61,98.0,1,0,0,1.73
243,243,62925,-73.95510999999998,40.72945,1,1,Brooklyn,Entire home/apt,2,2,122,96.0,1,0,0,0.9601
244,244,63299,-73.95177,40.70763,3,7,Brooklyn,Private room,1,1,176,96.0,0,1,0,0.9672
245,245,63360,-73.91433,40.75384,2,3,Queens,Entire home/apt,1,2,434,93.0,1,0,0,0.6855
246,246,63546,-73.97426,40.64106,0,4,Brooklyn,Private room,1,1,45,88.0,0,1,0,0.3867
247,247,63573,-73.98326999999998,40.66793,1,5,Brooklyn,Private room,1,1,9,93.0,0,1,0,0.9893
248,248,63588,-73.85514,40.81309,0,1,Bronx,Private room,1,2,0,,0,1,0,0.9237
249,249,63610,-73.83572,40.88057,1,10,Bronx,Entire home/apt,1,2,37,98.0,1,0,0,0.9385
